Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776467785,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776467786,100,,Aggregated,0.000000,0.000000,790,790,980,980,980,980,980,980,980,980,980,6,0,680.0,771.520993167845,504.28287498652935,982.3290840140544,123.0
1776467787,100,,Aggregated,0.000000,0.000000,1600,1700,1800,1800,1900,1900,2000,2000,2000,2000,2000,91,0,1600.0,1435.3361291769934,371.0647499538027,1978.0870420509018,122.96703296703296
1776467788,100,,Aggregated,0.000000,0.000000,1300,1700,1800,1800,2100,2100,2100,2100,2100,2100,2100,187,0,1300.0,1289.550342744921,371.0647499538027,2083.1749999779277,122.93048128342247
1776467789,100,,Aggregated,0.000000,0.000000,1200,1500,1700,1800,2000,2100,2100,2100,2100,2100,2100,228,0,1200.0,1254.8399848734302,371.0647499538027,2083.1749999779277,122.9298245614035
1776467790,100,,Aggregated,45.333333,0.000000,1200,1500,1800,1800,2100,2100,2100,2200,2400,2400,2400,239,0,1200.0,1294.2451102180294,371.0647499538027,2374.045791977551,122.92887029288703
1776467791,100,,Aggregated,57.000000,0.000000,1500,1900,2100,2200,2800,3000,3200,3500,3500,3500,3500,313,0,1500.0,1592.5605843048588,371.0647499538027,3479.158792004455,122.92012779552715
1776467792,100,,Aggregated,45.600000,0.000000,1300,1800,2100,2400,3000,3200,3300,3500,3900,3900,3900,402,0,1300.0,1561.3980954782273,371.0647499538027,3856.202624971047,122.91044776119404
1776467793,100,,Aggregated,42.166667,0.000000,1300,1700,2000,2100,2900,3200,3300,3500,3900,3900,3900,465,0,1300.0,1517.347380310242,371.0647499538027,3856.202624971047,122.91612903225807
1776467794,100,,Aggregated,52.142857,0.000000,1300,1600,1800,2100,2700,3100,3200,3500,3900,3900,3900,573,0,1300.0,1466.1472886216657,371.0647499538027,3856.202624971047,122.91972076788831
1776467795,100,,Aggregated,52.000000,0.000000,1200,1500,1700,1900,2700,3100,3200,3400,3900,3900,3900,653,0,1200.0,1397.6187962147474,371.0647499538027,3856.202624971047,122.91577335375192
1776467796,100,,Aggregated,56.222222,0.000000,1200,1400,1600,1800,2500,3000,3200,3400,3900,3900,3900,764,0,1200.0,1355.313337977588,371.0647499538027,3856.202624971047,122.92146596858639
1776467797,100,,Aggregated,62.100000,0.000000,1200,1400,1500,1700,2400,3000,3200,3300,3900,3900,3900,835,0,1200.0,1327.9815615325592,371.0647499538027,3856.202624971047,122.91976047904191
1776467798,100,,Aggregated,68.400000,0.000000,1200,1400,1500,1700,2100,2900,3200,3300,3900,3900,3900,946,0,1200.0,1314.1890591596589,371.0647499538027,3856.202624971047,122.91226215644821
1776467799,100,,Aggregated,77.500000,0.000000,1100,1400,1500,1700,2100,2900,3200,3300,3500,3900,3900,1011,0,1100.0,1287.5920976340562,371.0647499538027,3856.202624971047,122.90900098911969
1776467800,100,,Aggregated,72.800000,0.000000,1200,1400,1500,1600,2100,2900,3200,3300,3500,3900,3900,1075,0,1200.0,1287.6324406221813,371.0647499538027,3856.202624971047,122.90511627906977
1776467801,100,,Aggregated,73.900000,0.000000,1100,1300,1500,1600,2000,2700,3100,3200,3500,3900,3900,1211,0,1100.0,1255.9509634290334,367.7629170124419,3856.202624971047,122.90338563170933
1776467802,100,,Aggregated,81.300000,0.000000,1100,1300,1500,1600,1900,2700,3100,3200,3500,3900,3900,1312,0,1100.0,1240.2823284770066,367.7629170124419,3856.202624971047,122.9032012195122
1776467803,100,,Aggregated,89.700000,0.000000,1100,1300,1500,1500,1900,2600,3100,3200,3500,3900,3900,1348,0,1100.0,1233.9743350311915,367.7629170124419,3856.202624971047,122.90356083086053
1776467804,100,,Aggregated,85.500000,0.000000,1100,1300,1500,1600,1900,2600,3100,3200,3500,3900,3900,1414,0,1100.0,1247.6705281381135,367.7629170124419,3856.202624971047,122.9059405940594
1776467805,100,,Aggregated,91.200000,0.000000,1100,1300,1500,1600,1900,2500,3100,3200,3500,3900,3900,1546,0,1100.0,1236.6550133088354,367.7629170124419,3856.202624971047,122.90556274256144
1776467806,100,,Aggregated,87.400000,0.000000,1100,1300,1500,1600,1900,2500,3100,3200,3500,3900,3900,1608,0,1100.0,1225.810544670731,367.7629170124419,3856.202624971047,122.90796019900498
1776467807,100,,Aggregated,84.100000,0.000000,1100,1300,1500,1600,1900,2400,3000,3200,3500,3900,3900,1730,0,1100.0,1216.981438919498,367.7629170124419,3856.202624971047,122.90635838150288
1776467808,100,,Aggregated,89.300000,0.000000,1100,1300,1400,1500,1800,2300,3000,3200,3500,3900,3900,1882,0,1100.0,1181.2859665219921,271.1476660333574,3856.202624971047,122.90701381509032
1776467809,100,,Aggregated,86.900000,0.000000,1100,1200,1400,1500,1800,2200,3000,3200,3500,3900,3900,1996,0,1100.0,1150.2573317213287,271.1476660333574,3856.202624971047,122.90681362725451
1776467810,100,,Aggregated,91.100000,0.000000,1000,1200,1400,1500,1800,2200,3000,3200,3500,3900,3900,2097,0,1000.0,1139.896893397657,271.1476660333574,3856.202624971047,122.90605627086313
